file,avg_perplexity,avg_style,avg_consistency,avg_accuracy,avg_ethics,average_gpt_score,average_binomial_z_score
glo_gamma=0.9_delta=0.5_tend=160_sampled_100.json,9.998632407188415,8.38,8.77,7.66,8.87,8.42,0.6483838407003052
glo_gamma=0.9_delta=0.5_tend=20_sampled_100.json,9.911496608257293,8.62,9.11,7.68,8.82,8.5575,0.17996117953399163
glo_gamma=0.9_delta=0.5_tend=300_sampled_100.json,9.81827208995819,8.32,8.73,7.22,8.75,8.255,0.48187869189062815
glo_gamma=0.9_delta=0.5_tend=40_sampled_100.json,9.872088208198548,8.22,8.72,7.41,8.63,8.245,0.6155200074933451
glo_gamma=0.9_delta=0.5_tend=5_sampled_100.json,10.294903931617737,8.45,8.93,7.39,8.6,8.3425,-0.04789941838734016
glo_gamma=0.9_delta=0.5_tend=80_sampled_100.json,10.101488859653474,8.46,8.88,7.72,8.87,8.4825,0.6189039520399163
glo_gamma=0.9_delta=1_tend=10_sampled_100.json,9.627096574306488,8.4,8.79,7.41,8.74,8.335,0.1389825096491105
glo_gamma=0.9_delta=1_tend=160_sampled_100.json,10.722394541501998,8.45,8.95,7.48,8.61,8.3725,0.8073807274790527
glo_gamma=0.9_delta=1_tend=20_sampled_100.json,10.036518139839172,8.6,9.09,7.82,8.99,8.625,0.39208717947993527
glo_gamma=0.9_delta=1_tend=300_sampled_100.json,10.66302529335022,8.46,9.0,7.45,8.68,8.3975,0.8046772152763579
glo_gamma=0.9_delta=1_tend=40_sampled_100.json,10.082995920181274,8.3,8.81,7.45,8.94,8.375,0.8330044242558308
glo_gamma=0.9_delta=1_tend=5_sampled_100.json,10.00927437543869,8.41,8.67,7.45,8.81,8.335,-0.09662340116011287
glo_gamma=0.9_delta=1_tend=80_sampled_100.json,11.140681467056275,8.28,8.62,7.43,8.88,8.3025,0.8015017101945222
glo_gamma=0.9_delta=2_tend=10_sampled_100.json,10.045425951480865,8.46,9.0,7.33,8.58,8.3425,0.17859979985868105
glo_gamma=0.9_delta=2_tend=160_sampled_100.json,10.568917527198792,8.2,8.54,7.03,8.57,8.085,1.2182351772016076
glo_gamma=0.9_delta=2_tend=20_sampled_100.json,10.041192569732665,8.51,9.08,7.63,8.64,8.465,0.46732548812076485
glo_gamma=0.9_delta=2_tend=300_sampled_100.json,10.155273289680482,8.31,8.72,7.19,8.69,8.2275,1.162528274368878
glo_gamma=0.9_delta=2_tend=40_sampled_100.json,10.046407361030578,8.45,8.86,7.34,8.68,8.3325,1.2217552572566461
glo_gamma=0.9_delta=2_tend=5_sampled_100.json,10.228140687942505,8.39,8.83,7.7,8.85,8.4425,-0.05529139629868623
glo_gamma=0.9_delta=2_tend=80_sampled_100.json,10.637645285129548,8.35,8.64,7.37,8.95,8.3275,1.1665828803794052
glo_gamma=0.9_delta=4_tend=10_sampled_100.json,9.88282799243927,8.28,8.67,7.32,8.78,8.2625,0.20754860490027446
glo_gamma=0.9_delta=4_tend=160_sampled_100.json,11.00308854341507,8.21,8.66,7.26,8.72,8.2125,1.4531135010681897
glo_gamma=0.9_delta=4_tend=20_sampled_100.json,9.852097165584563,8.45,8.91,7.35,8.62,8.3325,0.6020759381875166
glo_gamma=0.9_delta=4_tend=300_sampled_100.json,10.588727133274078,8.32,8.9,7.6,9.09,8.4775,1.488863282202064
glo_gamma=0.9_delta=4_tend=40_sampled_100.json,10.615154521465302,8.27,8.65,7.35,8.77,8.26,1.5381089223941786
glo_gamma=0.9_delta=4_tend=5_sampled_100.json,10.647195456027985,8.48,8.87,7.48,8.84,8.4175,0.03381387957874162
glo_gamma=0.9_delta=4_tend=80_sampled_100.json,10.183305134773255,8.5,8.92,7.41,8.88,8.4275,1.5530445485016853
glo_gamma=0.9_delta=8_tend=10_sampled_100.json,10.656098375320434,8.59,9.07,7.72,8.91,8.5725,0.2286588079093638
glo_gamma=0.9_delta=8_tend=160_sampled_100.json,10.972060670852661,8.29,8.73,7.34,8.69,8.2625,1.97735805044782
glo_gamma=0.9_delta=8_tend=20_sampled_100.json,10.443638620376587,8.23,8.67,7.35,8.67,8.23,0.7968331846651818
glo_gamma=0.9_delta=8_tend=300_sampled_100.json,11.608849596977233,8.25,8.63,7.27,8.67,8.205,1.9366351983294345
glo_gamma=0.9_delta=8_tend=40_sampled_100.json,10.873249428272247,8.52,8.98,7.55,8.7,8.4375,2.036137494725359
glo_gamma=0.9_delta=8_tend=5_sampled_100.json,10.329561562538148,8.36,8.81,7.5,8.76,8.3575,0.03908313418341587
glo_gamma=0.9_delta=8_tend=80_sampled_100.json,10.987468526363372,8.14,8.5,7.41,8.72,8.1925,1.8571636802843157
